uid,Nudge,Lever,Ramp,Pendulum,Springboard,Down Hill,Lead the Ball,Chocolate Factory,Around the Tree,Big Watermill,Sunny Day,Wavy,On the Upswing,Shark,One at a time,Scale,Cloudy Day,Crazy Seesaw,Roller coaster,Uphill Battle,Little Mermaid,Ultimate Pinball,Yippie!,Diving Board,Stiff Curtains,Diving Board World,Need Fulcrum,Timing is Everything,Perfect Toss,Up in the Air,Spider Web,Can Opener,quit,silver,gold
A3520,silver,silver,silver,silver,silver,silver,gold,silver,gold,gold,quit,gold,quit,quit,gold,gold,quit,quit,NA,NA,NA,NA,NA,NA,silver,quit,silver,NA,NA,NA,NA,NA,6,9,6
E3205,silver,silver,silver,silver,silver,silver,gold,gold,gold,gold,gold,gold,silver,quit,gold,gold,gold,quit,quit,gold,silver,silver,silver,silver,NA,quit,gold,gold,quit,gold,gold,quit,6,11,14
D1742,silver,silver,silver,gold,silver,gold,gold,silver,gold,gold,quit,silver,gold,silver,gold,silver,gold,gold,NA,gold,silver,silver,gold,silver,silver,silver,NA,NA,NA,NA,silver,NA,1,14,11
A3474,silver,silver,silver,silver,silver,silver,gold,gold,gold,NA,silver,silver,quit,quit,gold,silver,silver,quit,silver,NA,quit,quit,gold,NA,quit,quit,silver,quit,NA,quit,NA,silver,9,13,5
F3755,silver,silver,silver,silver,silver,silver,gold,gold,gold,gold,NA,NA,NA,quit,gold,gold,NA,silver,NA,NA,NA,NA,NA,NA,silver,NA,NA,NA,NA,NA,NA,NA,1,8,6
D3654,silver,silver,silver,silver,silver,NA,silver,gold,gold,gold,quit,NA,NA,NA,quit,NA,NA,NA,NA,quit,quit,gold,NA,quit,NA,NA,NA,NA,NA,NA,silver,silver,5,8,4
D2147,silver,silver,silver,quit,NA,gold,gold,gold,gold,gold,gold,gold,silver,quit,gold,silver,quit,gold,NA,quit,quit,quit,silver,NA,quit,NA,gold,gold,quit,NA,silver,NA,8,7,11
C0437,silver,silver,silver,silver,silver,gold,gold,gold,gold,gold,gold,quit,gold,quit,gold,silver,quit,silver,NA,NA,quit,quit,quit,NA,quit,quit,quit,NA,NA,NA,quit,NA,10,7,8
A1348,silver,silver,silver,silver,silver,gold,gold,gold,gold,gold,silver,gold,gold,gold,gold,silver,gold,silver,NA,NA,NA,NA,NA,NA,gold,quit,NA,gold,quit,NA,NA,NA,2,8,12
C2473,silver,silver,silver,silver,silver,gold,gold,silver,silver,silver,silver,silver,gold,silver,gold,gold,silver,gold,NA,NA,silver,NA,gold,NA,silver,silver,silver,silver,silver,silver,NA,silver,0,20,7
A0651,silver,silver,silver,silver,silver,silver,gold,quit,gold,NA,NA,NA,NA,quit,gold,quit,NA,NA,NA,NA,NA,NA,NA,NA,silver,NA,NA,NA,NA,NA,NA,NA,3,7,3
F0358,silver,silver,silver,silver,silver,gold,gold,gold,NA,gold,quit,gold,gold,quit,gold,gold,gold,quit,NA,NA,gold,NA,silver,NA,quit,NA,NA,NA,quit,NA,NA,NA,5,6,10
E1393,silver,silver,silver,silver,silver,gold,gold,gold,gold,gold,silver,gold,gold,silver,gold,silver,gold,silver,NA,gold,silver,NA,quit,quit,NA,NA,NA,NA,NA,NA,NA,NA,2,10,10
D1438,silver,silver,silver,silver,silver,silver,gold,quit,silver,gold,silver,gold,NA,quit,gold,gold,silver,silver,NA,quit,quit,silver,gold,quit,quit,silver,silver,silver,NA,NA,gold,NA,6,14,7
F1405,silver,silver,silver,silver,quit,gold,gold,quit,quit,quit,quit,gold,quit,quit,gold,quit,quit,quit,NA,NA,quit,NA,quit,NA,quit,quit,quit,quit,NA,NA,NA,NA,16,4,4
F1382,silver,silver,silver,silver,quit,gold,gold,quit,quit,quit,NA,quit,gold,quit,quit,quit,quit,quit,NA,NA,quit,gold,quit,NA,silver,NA,NA,NA,NA,NA,NA,NA,12,5,4
A1461,silver,silver,silver,silver,silver,gold,gold,silver,quit,gold,gold,gold,gold,quit,gold,gold,NA,NA,gold,NA,NA,NA,NA,NA,quit,NA,quit,gold,quit,quit,NA,gold,6,6,11
F2989,silver,silver,silver,silver,silver,gold,gold,gold,gold,gold,gold,gold,NA,silver,gold,silver,NA,gold,NA,NA,NA,NA,NA,NA,silver,NA,NA,NA,NA,NA,NA,NA,0,8,9
A0673,silver,silver,silver,silver,silver,gold,gold,gold,quit,gold,quit,gold,NA,quit,gold,gold,NA,quit,quit,NA,NA,NA,NA,NA,quit,NA,quit,NA,NA,NA,NA,quit,8,5,7
A2934,silver,silver,silver,silver,silver,gold,gold,gold,gold,quit,quit,quit,gold,gold,gold,gold,silver,gold,quit,NA,quit,NA,NA,quit,silver,quit,silver,quit,quit,silver,NA,NA,9,9,9
