"","uid","context","timestamp","currentMoney","appId","mess","money","onWhat","LS_duration","learningSupportType"
"157","C3395","Chocolate Factory","2022-11-29 09:19:43",NA,NA,"LS Watched",NA,"physAnim_ramp",8.91700005531311,"physAnim_ramp"
"158","D3643","Around the Tree","2022-11-29 09:19:48",NA,NA,"LS Watched",NA,"game_tools",5.25500011444092,"game_tools"
"159","D3643","Around the Tree","2022-11-29 09:19:48",NA,NA,"LS Watched",NA,"",5.255,""
"160","C3395","Chocolate Factory","2022-11-29 09:21:45",NA,NA,"LS Watched",NA,"game_tools",7.94700002670288,"game_tools"
"161","C3395","Chocolate Factory","2022-11-29 09:21:46",NA,NA,"LS Watched",NA,"physAnim_ramp",7.947,"physAnim_ramp"
"162","D3643","One at a time ","2022-11-29 09:22:21",NA,NA,"LS Watched",NA,"physAnim_lever",28.3499999046326,"physAnim_lever"
"163","C3395","Chocolate Factory","2022-11-29 09:22:34",NA,NA,"LS Watched",NA,"game_tools",3.99499988555908,"game_tools"
"164","C3395","Chocolate Factory","2022-11-29 09:22:35",NA,NA,"LS Watched",NA,"physAnim_ramp",3.995,"physAnim_ramp"
"165","F3722","Sunny Day","2022-11-29 09:22:44",NA,NA,"LS Watched",NA,"game_tools",9.04699993133545,"game_tools"
"166","F3722","Sunny Day","2022-11-29 09:22:44",NA,NA,"LS Watched",NA,"",9.047,""
"167","F3722","Sunny Day","2022-11-29 09:22:53",NA,NA,"LS Watched",NA,"hint",7.29800009727478,"hint"
"168","C3586","Chocolate Factory","2022-11-29 09:23:37",NA,NA,"LS Watched",NA,"",0,""
"169","D3643","Shark","2022-11-29 09:25:03",NA,NA,"LS Watched",NA,"physAnim_lever",5.43899989128113,"physAnim_lever"
"170","D3643","Shark","2022-11-29 09:25:23",NA,NA,"LS Watched",NA,"physAnim_lever",20.2119998931885,"physAnim_lever"
"171","C3597","Big Watermill","2022-11-29 09:25:56",NA,NA,"LS Watched",NA,"physAnim_ramp",11.183000087738,"physAnim_ramp"
"172","F3733","Sunny Day","2022-11-29 09:26:53",NA,NA,"LS Watched",NA,"hint",3.08100008964539,"hint"
"173","F3733","Sunny Day","2022-11-29 09:26:57",NA,NA,"LS Watched",NA,"game_tools",3.28299999237061,"game_tools"
"174","F3733","Sunny Day","2022-11-29 09:26:57",NA,NA,"LS Watched",NA,"",3.283,""
"175","D3643","Scale","2022-11-29 09:27:10",NA,NA,"LS Watched",NA,"",0,""
"176","C0167","Springboard","2022-11-29 09:27:12",NA,NA,"LS Watched",NA,"game_tools",18.2769999504089,"game_tools"
"177","C0167","Springboard","2022-11-29 09:27:12",NA,NA,"LS Watched",NA,"",18.277,""
"178","C3597","Sunny Day","2022-11-29 09:28:47",NA,NA,"LS Watched",NA,"",0,""
"179","C3586","Wavy","2022-11-29 09:28:53",NA,NA,"LS Watched",NA,"physAnim_lever",1.69000005722046,"physAnim_lever"
"180","C3597","Sunny Day","2022-11-29 09:29:21",NA,NA,"LS Watched",NA,"physAnim_lever",0.46399998664856,"physAnim_lever"
"181","F0134","Sunny Day","2022-11-29 09:29:22",NA,NA,"LS Watched",NA,"hint",1.6340000629425,"hint"
"182","D3643","Scale","2022-11-29 09:29:33",NA,NA,"LS Watched",NA,"",0,""
"183","F0134","Chocolate Factory","2022-11-29 09:29:34",NA,NA,"LS Watched",NA,"hint",2.57299995422363,"hint"
"184","A0561","Big Watermill","2022-11-29 09:31:02",NA,NA,"LS Watched",NA,"physAnim_ramp",42.0999999046326,"physAnim_ramp"
"185","F0134","Big Watermill","2022-11-29 09:31:46",NA,NA,"LS Watched",NA,"hint",1.71199989318848,"hint"
"186","C3586","On the Upswing","2022-11-29 09:32:01",NA,NA,"LS Watched",NA,"game_tools",2.24499988555908,"game_tools"
"187","C3586","On the Upswing","2022-11-29 09:32:01",NA,NA,"LS Watched",NA,"",2.245,""
"188","C3586","Cloudy Day","2022-11-29 09:32:11",NA,NA,"LS Watched",NA,"physAnim_pendulum",1.56599998474121,"physAnim_pendulum"
"189","D1371","One at a time ","2022-11-29 09:32:36",NA,NA,"LS Watched",NA,"physAnim_lever",12.3310000896454,"physAnim_lever"
"190","F3182","Down Hill","2022-11-29 09:32:58",NA,NA,"LS Watched",NA,"game_tools",7.55599999427795,"game_tools"
"191","F3182","Down Hill","2022-11-29 09:32:58",NA,NA,"LS Watched",NA,"",7.556,""
"192","A1360","Chocolate Factory","2022-11-29 09:33:06",NA,NA,"LS Watched",NA,"",0,""
"193","C3586","Yippie!","2022-11-29 09:33:25",NA,NA,"LS Watched",NA,"physAnim_springboard",1.51999998092651,"physAnim_springboard"
"194","D3643","Crazy Seesaw","2022-11-29 09:33:41",NA,NA,"LS Watched",NA,"",0,""
"195","F0123","Chocolate Factory","2022-11-29 09:34:04",NA,NA,"LS Watched",NA,"hint",1.79399991035461,"hint"
"196","F0101","Sunny Day","2022-11-29 09:34:09",NA,NA,"LS Watched",NA,"hint",2.84699988365173,"hint"
"197","C0167","Sunny Day","2022-11-29 09:34:18",NA,NA,"LS Watched",NA,"game_tools",13.0269999504089,"game_tools"
"198","C0167","Sunny Day","2022-11-29 09:34:18",NA,NA,"LS Watched",NA,"",13.027,""
"199","F0101","Sunny Day","2022-11-29 09:34:25",NA,NA,"LS Watched",NA,"game_tools",9.23300004005432,"game_tools"
"200","F0101","Sunny Day","2022-11-29 09:34:25",NA,NA,"LS Watched",NA,"",9.233,""
"201","D3621","Diving Board World","2022-11-29 09:34:35",NA,NA,"LS Watched",NA,"physAnim_springboard",37.2999999523163,"physAnim_springboard"
"202","C3834","Chocolate Factory","2022-11-29 09:34:40",NA,NA,"LS Watched",NA,"physAnim_ramp",14.5729999542236,"physAnim_ramp"
"203","A0246","Sunny Day","2022-11-29 09:34:55",NA,NA,"LS Watched",NA,"physAnim_lever",11.0680000782013,"physAnim_lever"
"204","A0246","Sunny Day","2022-11-29 09:35:01",NA,NA,"LS Watched",NA,"physAnim_lever",6.77300000190735,"physAnim_lever"
"205","C3395","Wavy","2022-11-29 09:35:12",NA,NA,"LS Watched",NA,"physAnim_lever",38.7569999694824,"physAnim_lever"
"206","C2080","Chocolate Factory","2022-11-29 09:35:14",NA,NA,"LS Watched",NA,"",0,""
"207","A0561","Wavy","2022-11-29 09:35:25",NA,NA,"LS Watched",NA,"physAnim_lever",1.65899991989136,"physAnim_lever"
"208","C3597","Wavy","2022-11-29 09:35:30",NA,NA,"LS Watched",NA,"physAnim_lever",11.7309999465942,"physAnim_lever"
"209","C0167","Sunny Day","2022-11-29 09:35:58",NA,NA,"LS Watched",NA,"physAnim_lever",10.0840001106262,"physAnim_lever"
"210","A1360","Big Watermill","2022-11-29 09:36:28",NA,NA,"LS Watched",NA,"physAnim_ramp",43.3499999046326,"physAnim_ramp"
"211","A3799","Big Watermill","2022-11-29 09:36:31",NA,NA,"LS Watched",NA,"",0,""
"212","C3586","Uphill Battle","2022-11-29 09:36:36",NA,NA,"LS Watched",NA,"",0,""
"213","C3834","Chocolate Factory","2022-11-29 09:36:36",NA,NA,"LS Watched",NA,"game_tools",7.84500002861023,"game_tools"
"214","C3834","Chocolate Factory","2022-11-29 09:36:36",NA,NA,"LS Watched",NA,"physAnim_ramp",7.845,"physAnim_ramp"
"215","A0527","Big Watermill","2022-11-29 09:36:38",NA,NA,"LS Watched",NA,"physAnim_ramp",2.82200002670288,"physAnim_ramp"
"216","C0167","Sunny Day","2022-11-29 09:36:43",NA,NA,"LS Watched",NA,"physAnim_lever",45.8250000476837,"physAnim_lever"
"217","A2057","Big Watermill","2022-11-29 09:37:01",NA,NA,"LS Watched",NA,"",0,""
"218","C3586","Uphill Battle","2022-11-29 09:37:02",NA,NA,"LS Watched",NA,"",0,""
"219","C3586","Uphill Battle","2022-11-29 09:37:10",NA,NA,"LS Watched",NA,"",0,""
"220","C3586","Uphill Battle","2022-11-29 09:37:12",NA,NA,"LS Watched",NA,"",0,""
"221","F0101","Big Watermill","2022-11-29 09:37:13",NA,NA,"LS Watched",NA,"hint",5.51399993896484,"hint"
"222","A3799","Big Watermill","2022-11-29 09:37:14",NA,NA,"LS Watched",NA,"physAnim_ramp",4.90599989891052,"physAnim_ramp"
"223","C3597","Wavy","2022-11-29 09:37:21",NA,NA,"LS Watched",NA,"physAnim_lever",111.184000015259,"physAnim_lever"
"224","C3586","Uphill Battle","2022-11-29 09:37:25",NA,NA,"LS Watched",NA,"",0,""
"225","F0101","Big Watermill","2022-11-29 09:37:26",NA,NA,"LS Watched",NA,"game_tools",12.6449999809265,"game_tools"
"226","F0101","Big Watermill","2022-11-29 09:37:26",NA,NA,"LS Watched",NA,"",12.645,""
"227","D2372","Shark","2022-11-29 09:37:36",NA,NA,"LS Watched",NA,"physAnim_lever",50.3610000610352,"physAnim_lever"
"228","D3643","Stiff Curtains","2022-11-29 09:37:44",NA,NA,"LS Watched",NA,"physAnim_springboard",32.4360001087189,"physAnim_springboard"
"229","D3621","Stiff Curtains","2022-11-29 09:37:50",NA,NA,"LS Watched",NA,"physAnim_springboard",10.2379999160767,"physAnim_springboard"
"230","F0101","Big Watermill","2022-11-29 09:38:01",NA,NA,"LS Watched",NA,"hint",31.0820000171661,"hint"
